# OnyxG Replay Action Log
# frame|event|payload
0|run_start|difficulty=normal;max_continues=2
6186|signal_burst|points=300
6504|boss_defeated|level=1;wave=5
6593|level_start|level=2
12305|signal_burst|points=0
13047|boss_defeated|level=2;wave=5
13136|level_start|level=3
15044|signal_burst|points=700
17405|signal_burst|points=0
18040|boss_defeated|level=3;wave=5
18129|level_start|level=4
22394|signal_burst|points=300
22515|boss_defeated|level=4;wave=5
22604|run_end|score=34800;won=1;game_over=0;continues=0
